A,airportZone,
AAE,|FR|Algerian x2,
AAE,Mediterranean Black Sea,
AAL,Atlantic Fishing,
AAL,Healthcare,
AAL,Jutland capital journeys,
AAL,Wind Energy,
AAN,|AE|Malayali,
AAR,Dairy,
ABA,Aluminum,
ABJ,Agriculture,
ABJ,Logistics MEA,
ABJ,Spices / Tropical Ag,
ABQ,Academia,
ABQ,Hispanic|,
ABQ,Renewable Energy,
ABQ,UFOs,
ABV,|US|Nigerian,
ABV,Bureaucracy,
ABY,Cotton,
ABZ,Atlantic Fishing,
ABZ,Offshore Oil,
ABZ,Oil,
ABZ,Whiskey,
ACA,|US|Guerrero & Oaxaca,
ACC,|NL|Ghanaian,
ACC,Agriculture,
ACC,Spices / Tropical Ag,
ACE,Atlantic Fishing,
ACK,Wind Energy,
ACT,Ranching,
ACV,|US|Guerrero & Oaxaca,
ACV,Drug trafficking,
ACV,Forestry,Arcata/Eureka
ACY,Casinos,
AD1,Offshore Oil,oil platform
ADA,|DK|Turkish,
ADA,|NL|Turkish,
ADA,Agriculture,
ADB,|DK|Turkish,
ADB,|NL|Turkish,
ADB,Wind Energy,
ADD,|IE|Ethiopian,
ADD,|US|Ethiopian,
ADD,|ZA|Ethiopian,
ADD,Bureaucracy,
ADD,Coffee,
ADD,Logistics MEA,
ADL,|AU|Indian,
ADL,Viticulture,
ADQ,Arctic Fishing,
ADZ,Coffee,
AEP,|US|Jewish,
AEP,Agribusiness,
AEP,Loves Florianopolis x2|,
AES,Atlantic Fishing,
AEY,Geothermal,
AGA,Atlantic Fishing,
AGM,Arctic Fishing,
AGP,|ES|Ecuadorian,
AGP,Mediterranean Ag,
AGP,Telco,
AGR,Footwear,
AGS,Golf,
AGT,German|,
AGT,Spices / Tropical Ag,
AGU,|US|Durango & Zacatecas,
AHB,|SA|Pakistani,
AHB,Petrochemicals,
AIP,|CA|Punjabi,
AJF,Offshore Oil,
AKL,|NZ|Indian,
AKL,|NZ|Samoan,
AKL,Dairy,
AKL,Logistics APAC,
AKN,Arctic Fishing,
AKU,Cotton,
AKU,Sunni|,
ALA,LNG,
ALA,Logistics CIS,
ALA,Oil,
ALB,Dairy,
ALB,Loves DR x2|,
ALC,British Sunny Vacay x2|,
ALC,Mediterranean Ag,
ALC,Petrochemicals,
ALG,|CA|Algerian,
ALG,|FR|Algerian x2,
ALG,Logistics EU Med,
ALG,Oil,
ALO,Wind Energy,
ALP,|BR|Syrian,
ALP,|NL|Syrian,
ALS,UFOs,
AMA,Ranching,
AMA,UFOs,
AMA,Wind Energy,
AMD,|KE|Gujarati,
AMD,Dairy,
AMD,Pharma,
AMD,Textiles,
AMH,|US|Ethiopian,
AMH,|ZA|Ethiopian,
AMM,Healthcare,
AMS,|NL|Ghanaian,
AMS,|NL|Indonesian,
AMS,|NL|Moroccan,
AMS,|NL|Surinamese,
