AAA,1502,Asphalt,14/32
AAC,3019,Asphalt,16/34
AAE,2290,Asphalt,05/23
AAE,3000,Asphalt,18/36
AAK,902,Coral,10/28
AAL,2550,Asphalt,08R/26L
AAL,2653,Concrete,08L/26R
AAM,1263,Asphalt,16/34
AAN,4000,Asphalt,01/19
AAP,2250,Asphalt,04/22
AAQ,2500,Concrete,04/22
AAR,2702,Concrete,10R/28L
AAR,2777,Concrete,10L/28R
AAT,2200,Concrete,12/30
AAU,650,Paved,09/27
AAX,1900,Asphalt,15/33
AAY,2700,Asphalt,08/26
AAZ,2103,Asphalt,05/23
ABA,1300,Asphalt,02L/20R
ABA,2500,Unknown,02C/20C
ABA,3250,Asphalt,02/20
ABC,2700,Asphalt,09/27
ABD,2266,Asphalt,14L/32R
ABD,3100,Asphalt,14R/32L
ABE,1766,Asphalt,13/31
ABE,2316,Asphalt,06/24
ABI,1121,Asphalt,04/22
ABI,2193,Asphalt,17L/35R
ABI,2195,Asphalt,17R/35L
ABJ,3000,Asphalt,03/21
ABK,2500,Concrete,08/26
ABM,1834,Asphalt,13/31
ABQ,1828,Concrete,12/30
ABQ,3048,Concrete,03/21
ABQ,3048,Asphalt,17/35
ABQ,4204,Concrete,08/26
ABR,1676,Asphalt,17/35
ABR,2103,Concrete,13/31
ABS,3000,Asphalt,15/33
ABT,3350,Asphalt,07/25
ABU,1600,Asphalt,08/26
ABV,3610,Asphalt,04/22
ABX,1900,Asphalt,07/25
ABY,1584,Asphalt,16/34
ABY,2011,Asphalt,04/22
ABZ,1952,Asphalt,16/34
ABZ,260,Asphalt,18/36
ABZ,576,Concrete,05/23
ABZ,660,Asphalt,14/32
ACA,1700,Concrete,06/24
ACA,3301,Concrete,10/28
ACC,3403,Asphalt,03/21
ACE,2400,Asphalt,03/21
ACH,1500,Asphalt,10/28
ACH,1500,Asphalt,10R/28L
ACH,810,Unknown,10L/28R
ACI,497,Grass,03/21
ACI,733,Grass,13/31
ACI,877,Asphalt,08/26
ACK,1372,Asphalt,15/33
ACK,1921,Asphalt,06/24
ACK,821,Asphalt,12/30
ACT,1555,Asphalt,14/32
ACT,2166,Asphalt,01/19
ACV,1372,Asphalt,01/19
ACV,1843,Asphalt,14/32
ACX,2300,Asphalt,16/34
ACY,1872,Concrete,04/22
ACY,3048,Asphalt,13/31
ADA,2750,Asphalt,05/23
ADB,3240,Asphalt,16L/34R
ADB,3240,Concrete,16R/34L
ADD,3700,Asphalt,07L/25R
ADD,3800,Asphalt,07R/25L
ADE,3100,Asphalt,08/26
ADF,2503,Concrete,05/23
ADJ,3275,Asphalt,06/24
ADK,2318,Asphalt,18/36
ADK,2374,Asphalt,05/23
ADL,1652,Asphalt,12/30
ADL,3100,Asphalt,05/23
ADQ,1527,Asphalt,18/36
ADQ,1646,Asphalt,11/29
ADQ,2296,Asphalt,07/25
ADU,2500,Asphalt,07/25
ADU,3298,Concrete,15/33
ADZ,2375,Asphalt,06/24
AEB,2500,Concrete,12/30
AEG,1396,Asphalt,11/29
AEH,2800,Asphalt,09/27
AEP,2700,Concrete,13/31
AER,2200,Concrete,02/20
AER,3000,Concrete,06/24
AES,2314,Asphalt,07/25
AEU,2986,Asphalt,08/26
AEX,2133,Asphalt,18/36
AEX,2850,Concrete,14/32
AEY,2400,Asphalt,01/19
AFA,2355,Asphalt,11/29
AFL,2500,Asphalt,04/22
AFT,469,Grass,07/25
AFZ,3178,Asphalt,09/27
AGA,3200,Asphalt,09/27
AGF,2164,Asphalt,11/29
AGH,186,Asphalt,04/22
AGH,1944,Asphalt,14/32
AGI,950,Asphalt,09/27
AGJ,800,Asphalt,01/19
AGP,2750,Asphalt,12/30
AGP,3200,Asphalt,13/31
AGS,1830,Asphalt,08/26
AGS,2438,Asphalt,17/35
AGT,3400,Asphalt,05/23
AGU,1060,Asphalt,04/22
AGU,3000,Asphalt,17/35
AGV,1825,Asphalt,11/29
AGV,750,Asphalt,05/23
AHB,3350,Asphalt,13/31
AHE,1240,Asphalt,06/24
AHN,1220,Asphalt,02/20
AHN,1866,Asphalt,09/27
AHO,3000,Asphalt,02/20
AHU,2500,Asphalt,18/36
AIC,500,Grass,01/19
AIM,655,Turf,06/24
AIP,2755,Asphalt,13/31
AIT,1804,Asphalt,14/32
AIU,1203,Coral,10/28
AJA,2407,Asphalt,02/20
AJF,3660,Asphalt,10/28
AJI,3000,Asphalt,16/34
AJL,2500,Asphalt,17/35
AJN,1350,Asphalt,10/28
AJR,2500,Asphalt,12/30
AJU,2200,Asphalt,12/30
AJY,3000,Asphalt,07/25
AKA,2600,Concrete,11/29
AKF,3660,Asphalt,02L/20R
AKJ,2500,Asphalt,16/34
AKL,3108,Concrete,05L/23R
AKL,3635,Concrete,05R/23L
AKN,1224,Asphalt,18/36
AKN,2713,Asphalt,12/30
AKR,2802,Asphalt,03/21
AKS,1050,Grass,01/19
AKU,2400,Asphalt,09/27
AKV,1073,Gravel,08/26
AKX,3203,Concrete,13/31
AKY,1829,Bitumen,11/29
ALA,4400,Asphalt,05R/23L
ALA,4500,Asphalt,05R/23L
